table_name,field_name,language,field_value,translation
agency,agency_name,ar,Cairo Transport Authority,أتوبيس هيئة النقل العام بالقاهرة
agency,agency_name,ar,Minibus licensed by CTA,مينى باص هيئة النقل العام بالقاهرة
agency,agency_name,ar,Box Paratransit,بوكس
agency,agency_name,ar,Paratransit 8 Seater Suzuki Chevrolet or DMF (Blue Licenseplates),ثمناية 8 راكب سوزوكى أو شفروليه (لوحة معدنية زرقاء)
agency,agency_name,ar,Paratransit 14 Seater Microbus (Orange Licenseplates),ميكروباص أجرة 14 راكب (لوحة معدنية برتقالية)
agency,agency_name,ar,Cooperative paratransit 29 Seater (Grey Licenseplates),مينى باص تعاونيات 29 راكب (لوحة معدنية رمادية)
agency,agency_name,ar,Mwasalat Misr,مواصلات مصر
agency,agency_name,ar,National Authority for Tunnels,الهيئة القومية للأنفاق
agency,agency_name,ar,Green Bus,جرين باص
agency,agency_name,ar,Minibus licensed by LTRA,مينى باص جهاز تنظيم النقل البري
agency,agency_name,ar,Peugeot,سيارة بيجو سبعة راكب
stops,stop_name,ar,10 St. Steps (Ring Rd.),سلم شارع 10 (الطريق الدائري)
stops,stop_name,ar,Al Warraq,الوراق
stops,stop_name,ar,Qawmeya Arabeya Secondary Bus Station,القومية العربية
stops,stop_name,ar,New International Exhibition Center,مركز أرض المعارض الجديد
stops,stop_name,ar,June 30th Stadium,ستاد 30 يونيو
stops,stop_name,ar,Waha Garage (Nasr City),جراج الواحة (مدينة نصر)
stops,stop_name,ar,Madinat Al Solb (Al Tibeen),مدينة الصلب (التبين)
stops,stop_name,ar,Shorouq City,الشروق
stops,stop_name,ar,Al Shorouq Entrance 3,مدخل الشروق 3
stops,stop_name,ar,Middle Ring Road,الطريق الدائري الأوسطي
stops,stop_name,ar,Gesr El Suez Garage Station,موقف جراج جسر السويس
stops,stop_name,ar,AASTMT Engineering Building - Sheraton,الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري - مبنى هندسة
stops,stop_name,ar,Mostorod Ring Rd.,مسطرد الدائري
stops,stop_name,ar,Rahma Mosque (Mostafa Al Nahas St.),مسجد رحمة (مصطفى النحاس)
stops,stop_name,ar,Ahmed Galal Military Passage,ممر احمد جلال العسكرى
stops,stop_name,ar,Future School (Nasr City),مدرسة المستقبل (مدينة نصر)
stops,stop_name,ar,Al Toob Al Ramly,الطوب الرملي
stops,stop_name,ar,Masaken Zobbat Almaza,مساكن ضباط الماظة
stops,stop_name,ar,Qalyoub Exit,نزلة قليوب
stops,stop_name,ar,Masaken Al Shrouq,مساكن الشروق
stops,stop_name,ar,Tabarak Children's Hospital (Nasr City),مستشفى تبارك للأطفال (مدينة نصر)
